"","ID","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo","finalList.freq"
"765",765,"ARQ","Torrico, Sebastián",5e+06,191,7.35,17.57,26,1,0,0,16,0,12,1,0,0,2,"san-lorenzo",83
"431",431,"DEL","Fernández, Leandro",3800000,220,7.86,27.36,28,4,12,3,0,0,0,10,1,0,0,"godoy-cruz",75
"591",591,"VOL","Gagliardi, Alejandro",3500000,199,9.48,63.77,21,3,10,1,0,0,0,1,0,0,0,"chicago",57
"852",852,"VOL","Núñez, Gervasio",4200000,209,7.21,21.43,29,4,4,4,0,0,0,3,0,1,0,"sarmiento",52
"687",687,"DEL","Milito, Diego",8e+06,152,8.44,33.6,18,6,5,3,0,0,0,1,0,1,0,"racing",50
"385",385,"VOL","Fernández, Ignacio",4500000,227,8.41,39.25,27,4,8,0,0,0,0,5,0,0,0,"gimnasia",49
"189",189,"VOL","Zelarayán, Lucas",6200000,210,7.78,27.53,27,5,5,0,0,0,0,3,0,0,0,"belgrano",43
"660",660,"DEL","Bieler, Claudio",3900000,182,7.28,27.8,25,1,10,4,0,0,0,7,0,0,0,"quilmes",42
"215",215,"DEF","Díaz, Daniel",6500000,213,7.89,25.22,27,4,2,0,0,0,13,4,1,0,0,"boca",41
"458",458,"DEL","Abila, Ramón",5200000,175,7,37.01,25,3,10,0,0,0,0,4,0,1,0,"huracan",40
"173",173,"DEL","Cuero, Mauricio",3700000,219,7.55,15.81,29,5,7,0,0,0,0,2,0,0,0,"banfield",37
"661",661,"ARQ","Saja, Sebastián",6e+06,194,6.93,11.78,28,0,0,1,21,0,13,1,0,0,1,"racing",37
"942",942,"VOL","Malcorra, Ignacio",4700000,208,7.43,21.66,28,2,6,3,0,0,0,3,0,0,0,"union",37
"760",760,"DEL","Ruben, Marco",6500000,150,10.71,38.93,14,3,9,2,0,0,0,2,0,0,0,"rosario-central",33
"150",150,"DEF","Vittor, Sergio",3e+06,178,7.42,23.53,24,4,1,2,0,0,9,7,1,0,0,"banfield",32
"667",667,"DEF","Sánchez, Nicolás",3500000,160,6.96,19.89,23,1,2,0,0,0,13,8,0,0,0,"racing",28
"779",779,"VOL","Blanco, Sebastián",5500000,209,7.46,17.3,28,5,4,0,0,0,0,3,0,0,0,"san-lorenzo",27
"217",217,"VOL","Lodeiro, Nicolás",5200000,155,8.16,32.54,19,5,3,1,0,0,0,2,0,0,0,"boca",26
"552",552,"VOL","Rodríguez, Maxi",8e+06,188,6.96,29.73,27,2,8,2,0,0,0,3,1,2,0,"newells",25
"751",751,"VOL","Cervi, Franco",2e+06,190,7.04,19.42,27,3,5,0,0,0,0,4,0,0,0,"rosario-central",25
"239",239,"DEF","Conti, Germán",3e+06,175,6.25,12.87,28,3,1,0,0,0,10,10,0,0,0,"colon",22
"477",477,"DEF","Tagliafico, Nicolás",3300000,172,6.37,11.4,27,0,1,0,0,0,11,3,0,0,0,"independiente",21
"868",868,"ARQ","Crivelli, Federico",3800000,189,6.3,14.74,30,3,0,0,28,0,11,2,0,0,1,"temperley",21
"644",644,"VOL","Gómez, Rodrigo",3800000,197,7.04,18.65,28,4,4,0,0,0,0,5,0,0,0,"quilmes",20
"925",925,"DEL","Luna, Carlos",4900000,163,6.04,19.18,27,4,5,3,0,0,0,10,0,0,0,"tigre",20
"148",148,"DEF","Bianchi Arce, N.",3200000,169,5.83,12.23,29,1,1,0,0,0,10,4,0,0,0,"banfield",19
"741",741,"DEF","Donatti, Alejandro",5500000,207,7.39,13.22,28,0,3,0,0,0,10,2,0,0,0,"rosario-central",19
"767",767,"DEF","Mas, Emmanuel",5500000,194,6.69,11.58,29,1,1,0,0,0,13,2,1,0,0,"san-lorenzo",18
"768",768,"DEF","Yepes, Mario",4900000,151,6.04,7.61,25,1,0,0,0,0,13,9,0,0,0,"san-lorenzo",17
"520",520,"VOL","Ayala, Víctor",4800000,180,6.92,24.2,26,5,5,0,0,0,0,6,1,1,0,"lanus",15
"724",724,"DEL","Cavenaghi, Fernando",6900000,142,9.47,61,15,2,11,0,0,0,0,1,0,0,0,"river",15
"787",787,"DEL","Cauteruccio, Martín",5800000,166,6.92,22.65,24,2,9,0,0,0,0,4,0,0,0,"san-lorenzo",14
"165",165,"VOL","Cazares, Juan",4500000,169,6.76,18.37,25,3,2,0,0,0,0,1,0,0,0,"banfield",13
"183",183,"DEF","Pérez, Claudio",3200000,163,6.52,16.71,25,1,2,1,0,1,9,6,0,2,0,"belgrano",13
"872",872,"DEF","Chimino, Cristian",3900000,175,6.03,9.94,29,1,1,0,0,0,10,4,0,0,0,"temperley",13
"197",197,"VOL","Rigoni, Emiliano",3900000,168,6.46,24.11,26,3,4,0,0,0,0,0,0,0,0,"belgrano",12
"766",766,"DEF","Buffarini, Julio",5e+06,158,6.08,10,26,1,0,1,0,0,14,11,1,0,0,"san-lorenzo",12
"473",473,"DEF","Cuesta, Víctor",3500000,157,6.04,10.11,26,0,1,0,0,0,11,6,0,0,0,"independiente",11
"793",793,"DEL","Matos, Mauro",6500000,156,7.8,25.03,20,2,7,1,0,0,0,0,0,0,0,"san-lorenzo",11
"905",905,"DEF","González Pirez, L.",4200000,190,6.79,13.62,28,1,2,0,0,0,9,4,0,0,0,"tigre",11
"468",468,"ARQ","Rodríguez, Diego M.",4900000,172,6.88,15.73,25,1,0,4,18,0,9,2,0,0,0,"independiente",10
"186",186,"DEF","Lema, Cristian",2400000,144,5.76,10.43,25,0,1,1,0,1,11,11,0,1,0,"belgrano",9
"676",676,"VOL","Camacho, Washington",4500000,169,6.76,15.37,25,1,4,0,0,0,0,1,0,0,0,"racing",9
"691",691,"DEL","Bou, Gustavo",7200000,186,7.15,18.76,26,2,7,1,0,0,0,2,0,0,0,"racing",9
"346",346,"DEF","Desábato, Leandro",5400000,160,6.4,13.02,25,1,1,0,0,0,9,3,0,0,0,"estudiantes",8
"492",492,"VOL","Pisano, Matías",5600000,153,6.65,18.49,23,3,2,0,0,0,0,3,0,0,0,"independiente",8
"720",720,"VOL","Martínez, Gonzalo",5500000,147,7.35,23.56,20,3,4,0,0,0,0,0,0,0,0,"river",8
"4",4,"DEF","Díaz, Gastón",3e+06,133,6.33,16.85,21,0,2,3,0,0,9,9,1,0,0,"aldosivi",7
"498",498,"DEL","Albertengo, Lucas",6700000,165,6.88,18.72,24,1,9,0,0,0,0,2,0,0,0,"independiente",7
"607",607,"DEF","Parnisari, Ezequiel",3200000,131,5.95,12.17,22,0,1,0,0,0,13,8,0,0,0,"olimpo",7
"57",57,"VOL","Cabral, Luciano",2800000,129,6.79,21.08,19,3,2,0,0,0,0,1,0,0,0,"argentinos",6
"198",198,"VOL","Velázquez, Jorge",4600000,131,6.89,25.77,19,1,5,0,0,0,0,5,0,0,0,"belgrano",6
"232",232,"DEL","Calleri, Jonathan",5100000,159,7.23,23.41,22,1,10,0,0,0,0,2,1,0,0,"boca",6
"308",308,"DEF","Benítez, Marcelo",3300000,154,6.42,12.98,24,0,1,0,0,0,11,4,0,0,0,"defensa-y-justicia",6
"537",537,"DEF","Cáceres, Marcos",4300000,146,5.62,5.98,26,0,0,0,0,0,12,3,0,0,0,"newells",6
"601",601,"ARQ","Champagne, Nereo",4500000,163,6.52,15.91,25,2,0,0,21,0,13,1,0,0,0,"olimpo",6
"615",615,"VOL","Encina, Hernán",3900000,132,6,13.37,22,3,1,0,0,0,0,1,0,0,0,"olimpo",6
"807",807,"DEF","Gómez, José Luis",4e+06,188,7.23,30.73,26,1,3,0,0,0,7,2,0,0,0,"san-martin-san-juan",6
"828",828,"DEL","Figueroa, Marcos",3900000,186,6.64,15.76,28,3,7,0,0,0,0,3,1,0,0,"san-martin-san-juan",6
"24",24,"DEL","Lugüercio, Pablo",3700000,163,6.04,14.91,27,3,5,0,0,0,0,7,0,0,0,"aldosivi",5
"209",209,"DEF","Monzón, Luciano",3e+06,114,6.71,22.49,17,1,1,0,0,0,9,3,0,0,0,"boca",5
"480",480,"DEF","Pellerano, Hernán",3500000,132,6,11.37,22,1,0,0,0,0,10,7,0,0,0,"independiente",5
"494",494,"DEL","Benítez, Martín",1700000,146,7.68,28.65,19,3,6,0,0,0,0,4,0,0,0,"independiente",5
"647",647,"VOL","Canelo, Alexis",3200000,149,7.1,33.83,21,3,4,0,0,0,0,7,0,0,0,"quilmes",5
"880",880,"VOL","Sambueza, Fabián",1900000,141,5.88,15.48,24,1,3,0,0,0,0,5,0,0,0,"temperley",5
"934",934,"DEF","Zurbriggen, Santiago",2500000,150,5.17,2.6,29,0,0,0,0,0,9,4,0,0,0,"union",5
"104",104,"DEL","Silva, Santiago",4900000,145,6.59,25.61,22,2,5,3,0,0,0,6,0,0,0,"arsenal",4
"155",155,"DEF","Civelli, Luciano",4100000,158,5.85,8.26,27,0,1,0,0,0,9,4,0,0,0,"banfield",4
"178",178,"ARQ","Olave, Juan Carlos",4e+06,199,6.86,11.97,29,3,0,0,20,0,12,2,0,0,0,"belgrano",4
"223",223,"VOL","Meli, César",4200000,122,6.1,19.06,20,1,3,0,0,0,0,5,0,0,0,"boca",4
"283",283,"VOL","Vázquez, Fabio",2800000,142,5.26,9.66,27,2,1,0,0,0,0,4,0,0,0,"crucero-del-norte",4
"437",437,"DEF","Nervo, Martín",4e+06,155,5.34,3.41,29,0,0,0,0,0,9,5,0,0,0,"huracan",4
"495",495,"DEL","Vera, Diego",3800000,132,8.8,37.51,15,4,6,0,0,0,0,1,0,0,0,"independiente",4
"684",684,"VOL","Romero, Oscar",4800000,123,7.69,24.42,16,3,2,1,0,0,0,1,0,0,0,"racing",4
"688",688,"DEL","Pavone, Mariano",6200000,137,6.52,25.18,21,2,6,0,0,0,0,3,0,0,0,"racing",4
"832",832,"DEF","Casierra, Mauricio",2500000,130,5.2,5.82,25,0,0,0,0,0,10,7,0,0,0,"sarmiento",4
"943",943,"VOL","Martínez, Mauricio",2200000,151,5.39,6.03,28,2,1,0,0,0,0,9,0,0,0,"union",4
"958",958,"DEL","Gamba, Lucas",3900000,179,6.17,12.5,29,1,6,0,0,0,0,1,0,0,0,"union",4
"45",45,"DEF","Garré, Ezequiel",3500000,147,5.88,9.42,25,0,1,1,0,0,9,3,1,0,0,"argentinos",3
"206",206,"DEL","Márquez, Fernando",3800000,167,6.19,12.25,27,2,4,0,0,0,0,4,0,0,0,"belgrano",3
"210",210,"DEF","Peruzzi, Gino",4e+06,148,6.73,15.66,22,0,1,0,0,0,12,1,1,0,0,"boca",3
"301",301,"DEL","Avalos, Gabriel",2500000,129,6.45,23.34,20,2,5,0,0,0,0,2,0,0,0,"crucero-del-norte",3
"352",352,"VOL","Acosta, Luciano",3600000,109,6.81,15.57,16,4,0,1,0,0,0,4,0,0,0,"estudiantes",3
"371",371,"ARQ","Navarro, Nicolás",4400000,164,6.56,20.32,25,6,0,0,28,0,8,5,0,0,0,"gimnasia",3
"406",406,"DEF","Zárate, Nahuel",2600000,111,5.05,5.8,22,0,0,0,0,0,8,6,0,0,0,"godoy-cruz",3
"726",726,"DEL","Alario, Lucas",3300000,130,8.13,50.09,16,3,7,0,0,0,0,1,1,0,0,"river",3
"738",738,"DEF","Pinola, Javier",3500000,106,7.07,6.2,15,2,0,0,0,0,7,4,0,0,0,"rosario-central",3
"833",833,"DEF","Peppino, Franco",3600000,169,6.04,14.23,28,1,1,0,0,0,8,5,0,0,0,"sarmiento",3
"907",907,"DEF","Godoy, Erik",2500000,124,5.64,7.98,22,0,0,0,0,0,11,6,0,0,0,"tigre",3
"913",913,"VOL","Sánchez, Facundo",2600000,153,6.65,18.89,23,2,3,0,0,0,0,1,0,0,0,"tigre",3
"8",8,"DEF","Lequi, Matías",3600000,134,6.09,15.38,22,0,1,0,0,0,9,7,0,0,0,"aldosivi",2
"26",26,"DEL","Sand, José Gustavo",4400000,155,6.2,11.87,25,2,6,0,0,0,0,5,0,0,0,"aldosivi",2
"31",31,"DEL","Martínez, Roger",3300000,145,6.59,19.61,22,4,6,0,0,1,0,9,1,0,0,"aldosivi",2
"59",59,"DEL","Rinaldi, Lautaro",2300000,143,5.96,11.91,24,0,6,1,0,0,0,2,1,1,0,"argentinos",2
"151",151,"DEF","Bettini, Gonzalo",2e+06,72,5.14,7.84,14,0,0,0,0,0,6,4,0,0,0,"banfield",2
"187",187,"DEF","Saravia, Renzo",2800000,142,5.68,8.6,25,1,0,0,0,1,10,5,1,0,0,"belgrano",2
"230",230,"DEL","Palacios, Sebastián",2800000,116,7.25,22.05,16,1,5,0,0,0,0,1,0,0,0,"boca",2
"258",258,"VOL","Llama, Cristian",2500000,83,8.3,24.45,10,2,3,1,0,0,0,4,0,0,0,"colon",2
"386",386,"VOL","Fernández, Alvaro",4e+06,124,4.96,9.38,25,0,2,0,0,0,0,2,0,1,0,"gimnasia",2
"476",476,"DEF","Toledo, Gustavo",3e+06,145,5.58,7.34,26,0,0,0,0,0,11,5,0,0,0,"independiente",2
"534",534,"ARQ","Ustari, Oscar",5e+06,109,6.06,15.03,18,1,0,0,17,0,8,2,0,0,1,"newells",2
"565",565,"DEL","Scocco, Ignacio",5300000,145,6.59,20.41,22,1,6,1,0,0,0,3,0,0,0,"newells",2
"603",603,"DEF","Quiroga, Juan",2500000,105,5.25,7.38,20,0,0,0,0,0,9,7,0,0,0,"olimpo",2
"641",641,"DEF","Alegre, Alan",2500000,118,5.36,8.06,22,0,0,0,0,0,9,6,0,0,0,"quilmes",2
"665",665,"DEF","Pillud, Iván",4300000,112,6.59,15.13,17,0,1,0,0,0,8,0,0,0,0,"racing",2
"696",696,"DEF","Casco, Milton",4400000,116,5.52,9.25,21,1,0,0,0,0,9,5,0,0,0,"river",2
"710",710,"VOL","Bertolo, Nicolás",5400000,120,6.32,20.33,19,2,2,1,0,0,0,1,0,0,0,"river",2
"743",743,"VOL","Aguirre, Jonás",2800000,105,5.83,9.85,18,1,0,0,0,0,0,0,0,0,0,"rosario-central",2
"780",780,"VOL","Romagnoli, Leandro",5500000,119,7.44,21.77,16,4,1,0,0,0,0,1,0,0,0,"san-lorenzo",2
"790",790,"DEL","Villalba, Héctor",3900000,159,6.12,8.54,26,0,6,0,0,0,0,4,0,0,0,"san-lorenzo",2
"871",871,"DEF","Bojanich, Gastón",2200000,139,5.15,6.43,27,0,0,0,0,0,11,7,1,0,0,"temperley",2
"889",889,"VOL","Esparza, Gabriel",2800000,126,7,21.69,18,3,2,0,0,0,0,0,1,0,0,"temperley",2
"961",961,"ARQ","Aguerre, Alan",3e+06,141,6.13,18.14,23,3,0,0,27,0,6,4,0,0,1,"velez",2
"989",989,"VOL","Asad, Yamil",2300000,138,6,17.17,23,2,3,0,0,0,0,6,0,0,0,"velez",2
"10",10,"DEF","León, Federico",2800000,129,5.86,12.61,22,0,1,0,0,1,8,3,0,0,0,"aldosivi",1
"53",53,"VOL","Ledesma, Cristian",4300000,119,5.67,11.77,21,4,0,0,0,0,0,8,0,0,0,"argentinos",1
"84",84,"VOL","Godoy, Leandro",6e+05,12,4,1.71,3,0,0,0,0,0,0,1,0,0,0,"arsenal",1
"87",87,"VOL","López, Ramiro",3e+06,71,5.92,12.97,12,1,1,0,0,0,0,0,0,0,0,"arsenal",1
"132",132,"VOL","Ferreyra, Osmar",2300000,87,6.69,18.36,13,1,3,1,0,0,0,4,0,0,0,"atletico-rafaela",1
"158",158,"VOL","Erviti, Walter",4400000,117,5.09,7.02,23,1,0,0,0,0,0,5,0,0,0,"banfield",1
"182",182,"DEF","Alvarez, Federico",1200000,69,4.93,6.48,14,0,0,0,0,0,6,5,0,0,0,"belgrano",1
"254",254,"VOL","Poblete, Gerónimo",2e+06,117,5.32,7.69,22,2,0,0,0,0,0,6,0,0,0,"colon",1
"305",305,"ARQ","Arias, Gabriel",3e+06,170,6.07,13.62,28,3,0,0,30,0,10,3,0,0,0,"defensa-y-justicia",1
"311",311,"DEF","Saveljich, Esteban",3e+06,143,6.22,12.45,23,0,1,0,0,0,9,4,0,0,0,"defensa-y-justicia",1
"329",329,"VOL","Alvarez, Favio",2300000,56,5.6,9.05,10,0,1,0,0,0,0,0,0,0,0,"defensa-y-justicia",1
"361",361,"VOL","Barbona, David",2500000,64,4.92,7.12,13,0,1,0,0,0,0,2,0,0,0,"estudiantes",1
"364",364,"DEL","Cerutti, Ezequiel",3700000,165,6.35,15.85,26,3,2,1,0,0,0,5,0,0,0,"estudiantes",1
"377",377,"DEF","Bonifacio, Ezequiel",1800000,110,6.47,20.56,17,1,1,0,0,0,6,4,0,0,0,"gimnasia",1
"390",390,"VOL","Rojas, Jorge",3300000,132,5.74,15.11,23,0,3,0,0,0,0,2,0,0,0,"gimnasia",1
"428",428,"DEL","Garro, Juan",2800000,121,7.12,25.7,17,1,6,0,0,0,0,1,0,0,0,"godoy-cruz",1
"453",453,"VOL","Montenegro, Daniel",5e+06,95,6.79,16.87,14,1,3,0,0,0,0,2,0,0,0,"huracan",1
"454",454,"VOL","Bogado, Mauro",3800000,151,5.59,8.57,27,1,2,0,0,0,0,8,0,0,0,"huracan",1
"482",482,"VOL","Ortiz, Jorge",4600000,134,6.09,11.92,22,2,2,0,0,0,0,5,1,0,0,"independiente",1
"488",488,"VOL","Rodríguez, Cristian",5e+06,55,9.17,17.14,6,2,1,0,0,0,0,0,0,0,0,"independiente",1
"510",510,"DEF","Gómez, Gustavo",3500000,122,5.3,7.93,23,0,0,0,0,0,9,11,0,0,0,"lanus",1
"516",516,"VOL","Fritzler, Matías",3900000,103,4.9,6.78,21,0,0,0,0,0,0,7,1,0,0,"lanus",1
"541",541,"DEF","Baez, Gabriel",5e+05,74,5.29,8.18,14,0,0,0,0,0,7,3,0,0,0,"newells",1
"569",569,"ARQ","Sánchez, Alejandro",2300000,132,6.6,19.31,20,3,0,0,23,0,7,0,0,0,0,"chicago",1
"577",577,"DEF","Galarza, Marcos",3500000,117,4.88,6.49,24,0,0,0,0,0,8,5,0,0,0,"chicago",1
"612",612,"VOL","Acosta, Joel",2400000,114,4.96,8.96,23,0,1,0,0,0,0,4,0,0,0,"olimpo",1
"619",619,"VOL","Blanco, Jonatan",3400000,81,6.23,13.97,13,1,1,1,0,0,0,2,0,0,0,"olimpo",1
"654",654,"VOL","Scifo, Adrián",2e+06,100,4.76,7.49,21,1,0,0,0,0,0,7,0,0,0,"quilmes",1
"682",682,"VOL","Acuña, Marcos",3900000,130,5.91,13.49,22,0,3,0,0,0,0,3,1,0,0,"racing",1
"705",705,"VOL","Viudez, Tabaré",3e+06,56,5.6,10.6,10,0,1,0,0,0,0,0,0,0,0,"river",1
"734",734,"DEF","Gómez Andrade, Y.",2500000,85,5.31,9.21,16,0,0,0,0,1,6,5,0,0,0,"rosario-central",1
"756",756,"DEL","Larrondo, Marcelo",2900000,86,9.56,23.18,9,1,6,0,0,0,0,2,0,0,0,"rosario-central",1
"771",771,"DEF","Caruzzo, Matías",5300000,172,7.17,25.2,24,1,4,0,0,0,11,5,3,0,0,"san-lorenzo",1
"801",801,"DEF","Vera, Renzo",2500000,114,6,12.23,19,1,0,1,0,0,7,3,1,0,0,"san-martin-san-juan",1
"805",805,"DEF","Iberbia, Raúl",3e+06,113,5.14,7.85,22,0,0,0,0,1,8,8,0,0,0,"san-martin-san-juan",1
"842",842,"DEF","Dutari, Francisco",2900000,137,5.71,7.38,24,0,0,0,0,0,10,6,0,0,0,"sarmiento",1
"848",848,"VOL","Luna, Sebastián",2800000,146,5.21,7.52,28,0,3,0,0,0,0,11,0,0,0,"sarmiento",1
"874",874,"DEF","Aguirre, Gastón",2800000,139,5.15,6.23,27,0,0,0,0,0,10,8,1,0,0,"temperley",1
"881",881,"VOL","Ledesma, Eduardo",2700000,111,5.29,8.01,21,0,1,0,0,0,0,2,0,0,0,"temperley",1
"910",910,"VOL","Itabel, Kevin",2800000,52,5.2,7.8,10,1,0,0,0,0,0,2,0,0,0,"tigre",1
"937",937,"DEF","G. Guerreño, Rolando",2800000,145,5.58,9.74,26,0,1,0,0,0,8,6,0,0,0,"union",1
